,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
2202,320120,Cachoeiro de Itapemirim,ES,2019,BRK Ambiental - Cachoeiro de Itapemirim S.A.,208.499,61.745,73.719,"659,02","13.586,14","13.586,14","11.743,28",56.995,74.025,"544,92","7.226,49","7.092,80","10.669,63",62.828,188.432,"103.838.086,00","17.768.083,92","602.262,82","7.582.322,13","7.900.800,82","56.922.880,09","85.364.835,61",0,"10.471.280,11",0
2203,320120,Cachoeiro de Itapemirim,ES,2018,BRK Ambiental - Cachoeiro de Itapemirim S.A.,207.324,56.068,72.699,"645,06","13.161,00","13.161,00","11.459,40",51.731,67.886,"529,71","7.308,00","7.173,00","10.406,00",55.501,186.571,"96.009.519,37","16.477.221,60","837.017,31","8.947.715,16","7.612.537,25","57.668.809,91","82.767.735,92",0,"13.147.175,03",0
2204,320120,Cachoeiro de Itapemirim,ES,2017,BRK Ambiental - Cachoeiro de Itapemirim S.A.,207.396,55.978,71.134,"637,23","13.133,64","13.133,64","11.268,92",51.503,66.118,"511,48","7.152,86","7.026,44","10.202,95",54.211,190.042,"94.407.196,49","15.488.421,45","883.189,24","9.000.264,57","7.094.017,49","57.710.175,11","83.353.561,12",0,"12.740.419,21",0
2205,320120,Cachoeiro de Itapemirim,ES,2016,BRK Ambiental - Cachoeiro de Itapemirim S.A.,206.108,55.777,71.215,"633,71","13.270,20","13.270,20","11.461,21",51.285,66.242,"500,94","6.963,47","6.856,93","10.344,96",54.351,189.029,"89.646.842,72","13.393.177,92","943.539,66","6.427.488,00","8.277.201,18","54.159.153,47","78.794.765,75",0,"11.921.186,64",0
3068,210750,Paço do Lumiar,MA,2019,BRK Ambiental - Paço do Lumiar S.A.,113.411,31.612,33.661,377,"12.337,00",0,"4.004,00",15.099,15.937,135,"3.011,00","1.891,00","1.898,00",16.617,35.436,"18.996.095,00","7.081.281,36","271.326,94","5.008.496,59","5.485.042,96","30.719.318,43","41.552.848,25",0,"971.570,33",0
3071,210750,Paço do Lumiar,MA,2018,BRK Ambiental - Paço do Lumiar S.A.,106.721,29.664,31.751,362,"14.001,00",0,"3.532,00",14.191,15.022,135,"2.916,00","1.878,00","1.678,00",14.191,57.985,"12.200.795,00","7.037.836,00","311.806,00","4.392.784,00","6.558.850,00","26.483.612,00","33.447.109,00",0,"1.998.399,00",0
3073,210750,Paço do Lumiar,MA,2016,BRK Ambiental - Paço do Lumiar S.A.,71.685,20.902,22.707,"232,9","7.598,65",0,"2.842,66",9.590,10.576,"121,51","1.650,46","1.140,39","1.392,98",9.621,26.072,"9.161.215,78","4.569.492,64","82.154,57","3.128.328,62","3.736.829,70","11.545.239,56","20.087.488,59",0,"28.434,03",0
3164,211120,São José de Ribamar,MA,2019,BRK Ambiental - São José de Ribamar S.A.,164.911,59.455,70.747,566,"23.949,00",0,"8.304,00",18.956,27.166,119,"5.845,00","5.382,00","2.856,00",21.603,15.896,"31.376.874,03","9.441.708,47","406.990,40","7.512.744,88","2.350.732,70","21.993.840,30","36.379.075,39",0,"1.457.355,49",0
3165,211120,São José de Ribamar,MA,2018,BRK Ambiental - São José de Ribamar S.A.,176.321,55.912,67.033,543,"23.234,00",0,"7.660,00",17.622,25.439,100,"5.773,00","5.309,00","2.456,00",17.622,40.779,"28.468.521,00","10.138.689,00","540.697,00","7.617.454,00","728.384,00","23.445.027,00","33.451.051,00",0,"2.842.871,00",0
3166,211120,São José de Ribamar,MA,2016,BRK Ambiental - São José de Ribamar S.A.,103.422,48.519,58.969,"373,53","15.288,86",0,"7.234,39",11.936,18.508,"83,31","2.910,47","1.952,11","2.012,04",11.977,12.872,"12.651.202,75","6.310.251,73","113.451,56","4.320.072,85","5.160.383,88","15.943.426,06","27.739.865,20",0,"39.266,04",0
9397,150157,Bom Jesus do Tocantins,PA,2017,BRK Ambiental - Bom Jesus do Tocantins S.A.,10.225,2.667,2.677,42,449,0,450,,,,,,,,,"1.414.570,96","418.441,95","14.991,47","130.615,56","62.888,39","639.211,93","986.421,27",0,"3.651,00",
9398,150157,Bom Jesus do Tocantins,PA,2016,BRK Ambiental - Bom Jesus do Tocantins S.A.,10.948,2.608,3.046,"41,99",517,37,"369,87",,,,,,,,,"745.050,20","270.746,79","6.742,19","96.530,50","87.640,83","518.403,43","699.223,05",0,0,
9609,150613,Redenção,PA,2019,BRK Ambiental Araguaia,78.156,23.937,24.247,"536,43","5.320,43","769,71","3.582,15",1.325,1.325,"27,53","99,2","99,2","99,2",1.325,4.610,"11.141.803,91","3.728.963,24","183.093,91","1.904.476,30","1.126.323,94","11.564.980,49","14.104.571,56",0,"916.381,58",0
9610,150613,Redenção,PA,2018,BRK Ambiental Araguaia,70.896,22.902,23.138,"559,59","4.947,63","683,32","3.331,57",1.268,1.393,"25,35","97,46","97,46","173,6",1.321,4.537,"10.125.939,48","3.890.570,18","191.185,93","1.636.024,34","1.823.788,39","7.541.568,84","9.953.138,68",0,0,0
9611,150613,Redenção,PA,2017,BRK Ambiental - Redenção S.A.,36.718,9.951,10.053,284,"1.990,00",0,"1.460,00",1.307,1.307,25,97,97,173,1.307,4.440,"4.854.843,97","1.307.398,83","51.302,72","712.521,71","461.218,36","3.382.081,43","7.476.990,70",0,"709.199,81",0
9612,150613,Redenção,PA,2016,BRK Ambiental - Redenção S.A.,36.931,9.338,10.377,"253,5","1.739,00",0,"1.271,88",,,,,,,,,"4.499.473,19","709.811,61","81.720,23","765.492,31","447.416,31","2.839.604,17","5.838.480,99",0,"532.846,22",
9678,150670,Santana do Araguaia,PA,2017,BRK Ambiental - Santana do Araguaia S.A.,9.807,2.653,2.666,59,465,312,375,,,,,,,,,"1.422.394,69","534.096,35","51.981,21","137.389,96","105.277,20","875.492,15","1.288.904,95",0,"15.914,43",
