,Código do Município,Município,Estado,Ano de Referência,Prestador,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX,FN039 - Despesa com esgoto exportado
18,120040,Rio Branco,AC,2019,Departamento Estadual de Pavimentação e Saneamento,423469.0,114200.0,118276.0,2413.59,59815.77,54977.4,22986.44,23075.0,27055.0,548.34,4472.62,4472.62,4472.62,56877.0,87950.0,35087386.34,41865198.79,14107719.98,22096302.28,2142614.68,80705515.47,95656551.33,0.0,493679.74,0.0
19,120040,Rio Branco,AC,2018,Departamento Estadual de Pavimentação e Saneamento,409168.0,104619.0,113879.0,2402.77,58976.1,53899.35,22373.46,21544.0,25301.0,546.27,4201.92,4201.92,4201.92,56877.0,81945.0,33422654.88,40563433.81,16072200.91,16794869.3,1786598.2,75711690.52,95094675.59,0.0,494588.3,0.0
20,120040,Rio Branco,AC,2017,Departamento Estadual de Pavimentação e Saneamento,407242.0,104095.0,113226.0,2372.75,58372.33,52967.12,22815.62,21693.0,25432.0,534.32,4329.95,4329.95,4329.95,21693.0,82970.0,31201128.59,40251638.85,5477145.32,13965752.63,2050838.85,62130845.46,76828815.73,0.0,385469.81,0.0
21,120040,Rio Branco,AC,2016,Departamento Estadual de Pavimentação e Saneamento,391961.0,102717.0,112451.0,2361.13,59406.03,55321.73,22137.1,21851.0,25564.0,533.47,4354.32,4354.32,4354.32,21851.0,82966.0,31332879.28,36332012.25,12284320.25,9100621.46,1788829.25,60055281.64,78402935.68,0.0,549498.43,0.0
22,120040,Rio Branco,AC,2015,Departamento Estadual de Pavimentação e Saneamento,377422.0,99196.0,107744.0,2315.03,53568.42,49941.37,22420.48,21857.0,25680.0,533.47,4083.41,4083.41,4083.41,77749.0,83548.0,30722184.89,25119277.89,10876085.6,9366200.56,6475769.36,53415574.22,54601148.13,0.0,1578240.81,0.0
23,120040,Rio Branco,AC,2014,Departamento Estadual de Pavimentação e Saneamento,349041.0,90313.0,98006.0,2265.57,53533.76,51877.04,22899.52,19134.0,22590.0,467.27,3880.14,3880.14,3880.14,19150.0,73127.0,22957556.97,18720725.07,9026663.31,8241777.08,9464584.98,45728290.91,47402444.74,0.0,274540.47,0.0
24,120040,Rio Branco,AC,2013,Departamento Estadual de Pavimentação e Saneamento,327847.0,86981.0,93417.0,2164.94,49088.78,47492.67,21073.78,18893.0,22262.0,438.97,3728.55,3728.55,3728.55,18893.0,71843.0,24313720.81,20310767.74,10144314.38,8585353.07,9099880.94,51921268.83,65389178.88,0.0,215464.29,0.0
25,120040,Rio Branco,AC,2012,Departamento Estadual de Pavimentação e Saneamento,466756.0,90300.0,98557.0,1809.41,46833.29,44072.6,10736.19,18400.0,21737.0,324.88,3644.85,3644.85,3644.85,18420.0,82890.0,25486332.08,25750553.18,6168582.12,8020843.5,28580570.89,68599338.65,96292128.81,0.0,78788.96,0.0
26,120040,Rio Branco,AC,2011,Serviço de Água e Esgoto de Rio Branco,308068.0,47548.0,54458.0,769.02,32548.18,32548.18,9856.0,16361.0,19656.0,231.0,3352.0,3352.0,3330.0,16361.0,68000.0,20416824.6,7590314.72,4248625.94,3421612.59,6271235.07,21729996.6,37188757.6,0.0,198208.27,0.0
28,120040,Rio Branco,AC,2010,Serviço de Água e Esgoto de Rio Branco,252931.0,47025.0,53845.0,769.0,29300.66,29300.66,9309.92,15000.0,17405.0,231.0,3732.5,2986.0,3732.5,15000.0,68000.0,20049133.88,6294285.5,5585420.56,2745382.11,1226410.02,21995057.0,21995057.0,0.0,200900.0,0.0
31,120040,Rio Branco,AC,2009,Serviço de Água e Esgoto de Rio Branco,165894.0,40747.0,45827.0,769.0,28905.0,28905.0,7273.0,14964.0,17183.0,212.0,3128.0,2503.0,3128.0,14964.0,62202.0,14405590.0,6580906.0,4945586.0,4712698.0,5244435.0,21923605.0,22076605.0,0.0,153000.0,0.0
33,120040,Rio Branco,AC,2008,Serviço de Água e Esgoto de Rio Branco,131218.0,33813.0,39182.0,617.28,27452.9,27452.9,6012.23,14519.0,17557.0,120.0,2931.61,204.0,2931.61,14519.0,57308.0,13879712.95,6966403.77,5587147.0,3776435.9,2781722.54,19900021.07,20068178.95,0.0,168157.88,0.0
34,120040,Rio Branco,AC,2007,Serviço de Água e Esgoto de Rio Branco,130838.0,31296.0,36143.0,617.0,24990.0,24990.0,5351.23,13460.0,16422.0,120.0,2265.0,204.0,2664.81,13460.0,59448.0,10930638.21,5999124.26,2836872.92,4346340.37,1559134.08,14850778.01,14850778.01,0.0,109306.38,0.0
36,120040,Rio Branco,AC,2006,Serviço de Água e Esgoto de Rio Branco,150633.0,25988.0,36229.0,539.5,26443.0,26443.0,5339.8,13579.0,16475.0,118.6,2618.0,194.0,2663.3,13579.0,74138.0,11075908.33,4944755.59,2264430.0,3905974.83,1969168.59,13197860.27,13197860.27,0.0,113531.26,0.0
38,120040,Rio Branco,AC,2005,Serviço de Água e Esgoto de Rio Branco,117592.0,25522.0,36043.0,552.7,23859.0,23135.0,5362.5,13739.0,16612.0,132.0,4800.0,1892.0,2635.4,13739.0,58667.0,10011509.2,4367562.25,2310405.0,3112981.0,1462857.14,11345518.69,11345518.69,0.0,91713.3,0.0
40,120040,Rio Branco,AC,2004,Serviço de Água e Esgoto de Rio Branco,160920.0,31641.0,35760.0,552.5,21634.0,21634.0,5488.1,12707.0,15198.0,132.0,4800.0,0.0,2466.6,12707.0,68391.0,7891793.69,4012888.55,1211372.04,2451713.79,1770501.31,9530743.69,9530743.69,0.0,84268.0,0.0
