,Código do Município,Município,Estado,Ano de Referência,Prestadores,AG001 - População total atendida com abastecimento de água,AG002 - Quantidade de ligações ativas de água,AG003 - Quantidade de economias ativas de água,AG005 - Extensão da rede de água,AG006 - Volume de água produzido,AG007 - Volume de água tratada em ETAs,AG011 - Volume de água faturado,FN006 - Arrecadação total,FN010 - Despesa com pessoal próprio,FN011 - Despesa com produtos químicos,FN013 - Despesa com energia elétrica,FN014 - Despesa com serviços de terceiros,FN015 - Despesas de Exploração (DEX),FN017 - Despesas totais com os serviços (DTS),FN020 - Despesa com água importada (bruta ou tratada),FN021 - Despesas fiscais ou tributárias computadas na DEX
0,"120001,00",Acrelândia,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,5263.0,1520.0,1535.0,63.8,939.81,938.08,253.87,220335.05,782068.28,195063.59,239537.46,0.0,1216669.33,1451783.51,0.0,
1,"120005,00",Assis Brasil,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12000540] Prefeitura Municipal de Assis Brasil - PMAB,5165.0,1396.0,1438.0,29.36,662.28,659.35,330.32,416889.76,232103.28,77363.18,204184.55,0.0,513651.01,675292.01,0.0,
2,"120010,00",Brasiléia,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001040] Secretaria de Obras da Prefeitura de Brasileia - SEMOTUR,16468.0,4699.0,4947.0,73.28,2712.12,2710.12,826.2,1298917.73,738838.87,545285.66,474197.67,0.0,1758322.2,2081604.2,0.0,
3,"120013,00",Bujari,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001340] Prefeitura Municipal de Bujari - PMB,4865.0,1386.0,1427.0,43.14,511.8,506.38,260.49,248771.56,1161700.93,191132.19,321795.7,0.0,1674628.82,1909742.1,0.0,
4,"120017,00",Capixaba,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12001740] Prefeitura Municipal - PM,4211.0,1181.0,1184.0,29.18,600.49,594.09,244.71,288948.68,586004.08,81415.26,139126.33,0.0,806545.67,997575.94,0.0,
5,"120020,00",Cruzeiro do Sul,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12002040] Secretaria municipal de Infraestrutura e Obras Públicas - SMIOP,46162.0,11204.0,11314.0,188.41,6883.86,4785.13,2026.6,1839730.83,2938523.32,183524.92,3037093.53,0.0,6159141.77,7408185.85,0.0,
6,"120025,00",Epitaciolândia,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,11699.0,3396.0,3573.0,55.19,2220.42,2220.42,650.36,798553.55,687452.4,317584.54,411198.52,0.0,1416235.46,1695433.55,0.0,
7,"120030,00",Feijó,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,6792.0,1549.0,1584.0,86.85,971.86,971.86,314.41,571824.76,500151.13,430737.78,223537.33,0.0,1154426.24,1433624.33,0.0,
8,"120032,00",Jordão,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,3513.0,733.0,734.0,14.95,330.01,330.01,149.23,204538.06,258929.88,91361.9,65919.11,0.0,416210.89,563157.26,0.0,
9,"120033,00",Mâncio Lima,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12003340] Secretaria Municipal de Obras e Urbanismo - SEMOUR,12094.0,2948.0,2953.0,70.92,1148.29,0.0,650.32,436747.27,437789.25,18215.82,319330.56,0.0,775335.63,995755.18,0.0,
10,"120034,00",Manoel Urbano,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,6853.0,1684.0,1724.0,27.94,862.65,862.65,392.53,425087.29,507794.29,238003.76,204074.32,0.0,949872.37,1184986.55,0.0,
11,"120035,00",Marechal Thaumaturgo,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12003540] Prefeitura Municipal de Marechal Thaumaturgo - PMMT,5093.0,1023.0,1024.0,25.52,336.87,336.87,124.44,110782.37,278903.28,129899.08,115223.81,0.0,524026.17,729751.08,0.0,
12,"120038,00",Plácido de Castro,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA,8703.0,2477.0,2518.0,81.46,804.1,804.1,463.17,492126.14,815582.22,173352.34,140333.26,0.0,1129267.82,1393771.28,0.0,
