,Código do Município,Município,Estado,Ano de Referência,Prestadores,ES002 - Quantidade de ligações ativas de esgotos,ES003 - Quantidade de economias ativas de esgotos,ES004 - Extensão da rede de esgotos,ES005 - Volume de esgotos coletado,ES006 - Volume de esgotos tratado,ES007 - Volume de esgotos faturado,ES009 - Quantidade de ligações totais de esgotos,ES026 - População urbana atendida com esgotamento sanitário,FN039 - Despesa com esgoto exportado
15,"120040,00",Rio Branco,AC,"2019,00",[12004000] Departamento Estadual de Pavimentação e Saneamento - DEPASA | [12004040] Secretaria Municipal de Zeladoria da Cidade - SMZC,23075.0,27055.0,548.34,4472.62,4472.62,4472.62,56877.0,87950.0,0.0
24,"270030,00",Arapiraca,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27003040] Prefeitura Municipal de Arapiraca - PMA,1070.0,1070.0,36.64,109.49,109.49,134.96,1073.0,4280.0,0.0
27,"270060,00",Barra de São Miguel,AL,"2019,00","[27043000] Companhia de Saneamento de Alagoas - CASAL | [27006040] Secretaria Municipal de Infraestrutura, Acessibilidade e Transporte - SEMIAT",350.0,351.0,2.1,38.1,38.1,46.94,350.0,1404.0,0.0
28,"270070,00",Batalha,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27007040] Prefeitura Municipal de Batalha - PMB,1913.0,1938.0,27.3,134.25,134.25,241.85,2603.0,7364.0,0.0
34,"270130,00",Cajueiro,AL,"2019,00",[27013011] Serviço Autônomo de Água e Esgoto - SAAE,556.0,560.0,5.0,148.0,62.0,55.0,598.0,2199.0,0.0
36,"270140,00",Campo Alegre,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27014011] Prefeitura Municipal de Campo Alegre - PMCA | [27014040] SECRETARIA DE UBANISMO E SERVIÇOS PÚBLICOS - SMUSP,6100.0,6110.0,55.0,325.0,25.0,0.0,7252.0,13850.0,0.0
39,"270170,00",Capela,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL,10.0,10.0,1.65,6.17,6.17,6.29,272.0,40.0,0.0
45,"270230,00",Coruripe,AL,"2019,00",[27023011] Prefeitura Municipal de Coruripe - PMC,3333.0,,25.13,578.89,578.89,0.0,3394.0,13736.0,0.0
59,"270350,00",Jacuípe,AL,"2019,00","[27043000] Companhia de Saneamento de Alagoas - CASAL | [27035040] secretaria municipal de infraestrutura, transportes e serviços públicos - SMITSP",262.0,262.0,3.06,31.43,31.43,31.43,262.0,1048.0,0.0
61,"270370,00",Jaramataia,AL,"2019,00",[27043000] Companhia de Saneamento de Alagoas - CASAL | [27037011] Prefeitura Municipal de Jaramataia - PMJ | [27037040] Prefeitura Municipal de Jaramataia - PMJ,460.0,,6.47,32.12,0.0,0.0,714.0,2933.0,0.0
