sigla_uf;id_municipio;populacao_urbana_2013;populacao_urbana_2035;prestador_servico_esgoto;sigla_prestador;indice_sem_atend;indice_atend_solucao_ind;indice_atend_col_sem_trat;indice_atend_col_trat;vazao_sem_col_sem_trat;vazao_solucao_ind;vazao_col_sem_trat;vazao_col_trat;vazao_total;parcela_carga_sem_col_sem_trat;parcela_carga_solucao_ind;parcela_carga_col_sem_trat;parcela_carga_col_trat;carga_gerada;carga_lancada_sem_col_sem_trat;carga_lancada_solucao_ind;carga_lancada_col_sem_trat;carga_lancada_col_trat;carga_lancada;indice_atend_etes_avaliado_2035;indice_atend_solucao_ind_2035;carga_gerada_2035;carga_afluente_ete_2035;carga_efluente_ete_2035;carga_afluente_solucao_ind_2035;carga_efluente_solucao_ind_2035;populacao_atendida_2035;investimento_col;investimento_trat;investimento_col_trat;necessidade_remocao_dbo;tipologia_solucao;atencao_fosforo;atencao_nitrogenio;;
RO;1100015;14735;15507;Serviço Autônomo de Água e Esgoto;SAAE;96,7;1,9;1,4;0;14,6;0,3;0,2;0;15,1;769,7;14,7;11,3;0;795,7;769,7;5,9;11,3;0;786,9;90;10;837,4;753,7;75,4;83,7;33,5;13956;16866794,48;4298529,94;21165324,42;Acima de 80%;Tratamento secundário avançado;Não;Não;;
RO;1100023;85770;121503;Companhia de Águas e Esgotos de Rondônia;CAERD;89,4;8,6;2;0;125,7;12,1;2,8;0;140,6;4140,9;397,2;93,4;0;4631,6;4140,9;158,9;93,4;0;4393,2;90;10;6561,2;5905,1;2362;656,1;262,4;109353;119460468,9;25041739,67;144502208,6;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100031;2771;3349;Prefeitura Municipal de Cabixi;PM;99;0,6;0,4;0;4,3;0;0;0;4,3;148,1;0,9;0,6;0;149,6;148,1;0,4;0,6;0;149,1;90;10;180,8;162,7;65,1;18,1;7,2;3014;4860355,53;690255,84;5550611,37;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100049;67665;80311;Serviço Autônomo de Água e Esgoto de Cacoal;SAAE;28,8;16,2;0;55;30,2;17;0;57,6;104,8;1053,1;591,2;0;2009,7;3653,9;1053,1;236,5;0;502,4;1792;90;10;4336,8;3903,1;975,8;433,7;173,5;72280;38921408,98;4891916,8;43813325,77;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100056;15276;14254;Prefeitura Municipal de Cerejeiras;PM;79,6;19,7;0,7;0;17,4;4,3;0,1;0;21,8;656,9;162,4;5,5;0;824,9;656,9;65;5,5;0;727,5;90;10;769,7;692,7;69,3;77;30,8;12829;15623409,94;3951303,59;19574713,53;Acima de 80%;Tratamento secundário avançado;Não;Não;;
RO;1100064;14097;14079;Prefeitura Municipal de Colorado do Oeste;PM;94,9;4;1;0;19,6;0,8;0,2;0;20,6;722,7;30,8;7,8;0;761,2;722,7;12,3;7,8;0;742,8;90;10;760,3;684,3;136,8;76;30,4;12671;15369882,25;2629176,27;17999058,52;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100072;2665;4701;Prefeitura Municipal de Corumbiara;PM;92,2;6,5;1,3;0;3,5;0,2;0;0;3,8;132,7;9,3;1,9;0;143,9;132,7;3,7;1,9;0;138,3;90;10;253,9;228,5;91,4;25,4;10,2;4231;6789678,26;968973,34;7758651,6;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100080;8689;11234;Prefeitura Municipal de Costa Marques;PM;89,6;8,5;1,9;0;12,3;1,2;0,3;0;13,7;420,3;40;8,9;0;469,2;420,3;16;8,9;0;445,2;90;10;606,6;545,9;218,4;60,7;24,3;10111;12204319,54;2760408,05;14964727,6;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100098;22741;30880;Prefeitura Municipal de Espigão D Oeste;PM;85;13,8;1,2;0;27,6;4,5;0,4;0;32,4;1043,4;169,7;15;0;1228;1043,4;67,9;15;0;1126,2;90;10;1667,5;1500,8;45;166,8;66,7;27792;32164917,18;8794858,41;40959775,59;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
RO;1100106;38676;44719;Companhia de Águas e Esgotos de Rondônia;CAERD;75,5;14,5;10;0;42,7;8,2;5,7;0;56,6;1577,5;301,7;209,3;0;2088,5;1577,5;120,7;209,3;0;1907,5;90;10;2414,8;2173,3;869,3;241,5;96,6;40247;42516743,45;8688011,32;51204754,77;Entre 60 e 80%;Tratamento secundário convencional;Não;Não;;
